id	name	culture	religion	yearFounded	nation	nodes	description
10	Siling Vandals	teutonic	Pagan	0	1	24	<p>A small Germanic tribe that joined with the Asding Vandals during the beginning of the Hun invasion. The two were collectively known as the Vandals.</p>
11	Quadi	teutonic	Pagan	0	1	24	<p>A frequent ally of the Marcomanni, the Quadi fought alongside them in the Marcomannic wars against Rome. (They were possibly the barbarian tribe represented at the beginning of the movie <i>Gladiator</i>) Together, the two tribes were known as the Suevi. Later the Quadi joined the Marcomanni, the Vandals, and the Alans to flee from the Huns. The coalition eventually settled in Spain, where they became some of the primary ancestors of the Spanish peoples.</p>
12	Asding Vandals	teutonic	Pagan	0	1	36	<p>A small Germanic tribe that joined with the Siling Vandals during the beginning of the Hun invasion. The two were collectively known as the Vandals.</p>
13	Gepids	teutonic	Pagan	0	1	60	<p>A staunch Germanic tribe, the Gepids did not leave their territory (modern Romania) during the many Teutonic migrations of the early Dark Ages. The mountains and dense forests surrounding their land discouraged conquest, though they were briefly overrun by the Huns and they were frequently at war with the Lombards. Eventually it was an alliance between the Lombards and the Avars that ended their history.</p>
14	Rugians	teutonic	Pagan	0	1	108	<p>One of the many Germanic tribes during the early Dark Ages, The Rugians were frequent allies of the Huns (when they weren't being conquered by them). Their history as a distinct culture ended when they were defeated by the Italian king, Odoacer.</p>
15	Visgoths	teutonic	Pagan	0	1	84	<p>One of the most successful Germanic tribes, the Visigoths began their long history on the coast of the Black Sea were they periodically harassed Rome. However, when the Huns invaded Europe, the Gothic tribe fled to Rome for sanctuary. The Romans weren't very hospitable to their new refugees though, so soon after they arrived, the Goths revolted, crushing the Roman army in the Battle of Adrianople with the help of the Ostrogoths. Their king, Alaric, then led them on the beginning of a forty year migration all along the northern coast of the Mediterranean where the Visigoths ravaged the Empire, even sacking Rome itself. Eventually the Visigoths settled in Spain, where they became one of the primary ancestors of the Spanish. Their story ended when they were conquered by the Umayyad Caliphate.</p>
16	Ostrogoths	teutonic	Pagan	0	1	216	<p>One of the most successful Germanic tribes, the Ostrogoths created one of the first Germanic empires, stretching from the Baltic to the Black Sea. Their cavalry were second to none in the early European Dark Ages, and though they were overrun by the Huns, the nomadic horsemen respected the Goths' skill on horseback so much that the Ostrogoths would frequently ride with the Huns in raids. The Ostrogoth cavalry was a significant cause of the Gothic victory at the Battle of Adrianople, and it was the Ostrogothic King Theodoric that defeated King Odoacer to make the Ostrogoths one of only two Germanic nations to ever successfully claim Rome while the Roman Empire was still in power. Ironically, it was Emperor Justinian's re-expansion of Rome that ultimately ended the Ostrogoth's proud history.</p>
17	Danes	teutonic	Pagan	0	1	36	Germanic Tribe
18	Getes	teutonic	Pagan	0	1	36	<p>An early name for the Goths, the Getes were the tribe of the Visigoths and the Ostrogoths before the two nations crossed the Baltic Sea. Some of these Goths remain in their Scandinavian homeland though and continued as a distinct nation until they were conquered by the Swedes.</p>
19	Swedes	teutonic	Pagan	0	1	48	Germanic Tribe
20	Norse	teutonic	Pagan	0	1	60	Germanic Tribe
21	Lapps	misc	Pagan	0	0	108	Ancient nomadic people
22	Finns	uralian	Pagan	0	0	132	Nomadic people
23	Balts	slavic	Pagan	0	1	48	Slavic Tribe
24	Slavs	slavic	Pagan	0	1	84	Slavic Tribe
25	Roman Empire	classical	Catholic	0	1	252	<p>Considered by many to be the greatest civilization of all time, for better and for worse, Rome made an enormous impact on Western Culture during its 2,200 year history. There are few who have not heard of the Roman Legions, whose discipline and structure was the basis for most modern militaries. Or of the atrocities of the gladiatorial games held in the Coliseum. Through force of conquest, Rome gave the West its alphabet and the basis for their modern languages, and Rome’s infrastructure set an example for every nation that followed it.</p><p>While it begin as Pagan nation, Roman policy eventually became the primary cause for the popularity of Christianity in the West, a policy that empowered the Papacy and created the integration of church and state which dominated the Middle Ages. As part of this process, Rome blended the existing Pagan and Classical cultures into the Christian narrative to create the root culture of most of the Western World. </p><p>But for better or for worse, the empire eventually did come to an end. Not through a militant takeover, but through a 1,100 year atrophy where it failed to adequately adapt to the changing world around it. Through a long series of ill-advised bargains, betrayals, and raids Rome slowly crumbled from the Glory of the West, to a small empire that bore little resemblance to former days (The Byzantine Empire), to a single solitary city that refused to surrender (Constantinople), until finally that too fell. </p>
26	Picts	celtic	Pagan	0	1	60	Celtic Tribes
27	Irish	celtic	Catholic	0	1	72	Celtic Tribes
28	Abasgians	misc	Pagan	0	1	12	Caucasian people
29	Kingdom of Lazica	misc	Catholic	0	1	24	Caucasian Kingdom
30	Kingdom of Iberia	misc	Catholic	0	1	36	Caucasian Kingdom
31	Kingdom of Armenia	misc	Catholic	0	1	48	Caucasian Kingdom
32	Berbers	afroAsiatic	Pagan	0	1	48	North Saharan Tribes
33	Arabs	afroAsiatic	Pagan	0	0	84	Arabian Tribes
34	Persian Empire	iranian	Zoroastrian	0	1	144	Rome's primary rival
35	Alans	iranian	Pagan	0	1	60	A resiliant culture similar to Persia
36	Kushan Principalities	iranian	Buddhist	0	1	72	An ancient culture that bridged the East and the West
37	Huns	altaian	Pagan	0	1	240	Fierce nomadic warrior tribes
38	British	celtic	Catholic	1	1	60	Celtic Tribes
39	Suevi & Vandals	teutonic	Pagan	1	1	24	"A coalition of Marco-manni, Quadi, and Siling and Asding Vandal tribes"
40	White Huns	altaian	Pagan	0	1	120	A sub-group of the Huns
41	Khwarizm	iranian	Pagan	0	1	24	People near a lake
42	Brahui	elamoDravidian	Pagan	0	1	36	Last bastion of the Elamo-Dravidian culture group
43	Vandals	teutonic	Pagan	2	1	96	Germanic Tribe
44	Suevi	teutonic	Pagan	3	1	36	A coalition of Marcomanni and Quadi tribes
45	Bretons	celtic	Catholic	3	1	48	Fleeing Celts
46	Anglo-Saxons	teutonic	Pagan	3	1	48	Exploratory coalition of Angles & Saxons
47	Odoacer	teutonic	Catholic	4	1	96	Overthrew Rome
48	Basques	misc	Pagan	4	1	24	Indegenous people
49	Bavarians	teutonic	Pagan	5	1	48	Took the place of the Rugians
50	Scots	celtic	Catholic	6	1	24	Irish explorers
50	Avar Khanate	altaian	Pagan	6	1	144	Mongolian and White Hun Coalition
51	Turkish Khanate	altaian	Buddhist	6	1	144	Mongolian Empire
